,date,title,support,notes,tags,reviews,One Set,Set 1,Set 2,Set 3,Encore,2nd Encore,3rd Encore,Quarter 1,Quarter 2,Quarter 3,Quarter 4,Overtime
0,2008-04-11,"Calvin Theatre, Northampton, MA, USA",U-Melt,None,"{'1': '""Jimmy Stewart"" with lyrics', '2': 'with Brendan on percussion'}",,,"Walletsworth >  2x2,  Visions >  Words,  The Haunt >  White Man's Moccasins","#5 >  2nd Self,  Der Bluten Kat[1],  13 Days,  Hey Nineteen >  Eat[2]",,Mulche's Odyssey,,,,,,,
0,2008-04-12,"Brown University, Providence, RI, USA",,['with M.I.A. and Girl Talk'],{},,"In The Kitchen >  Rocker Part 2 >  Higgins,  Uncle Wally >  In The Kitchen,  Partyin' Peeps,  40's Theme,  Resolution >  Much Obliged >  Professor Wormbog,  I Ran,  Plunger",,,,,,,,,,,
0,2008-04-13,"Toad's Place, New Haven, CT, USA",,"[""last It's So Easy 05.01.2004 (515 shows)""]","{'1': ""with Miss Tinkle's Overture teases"", '2': 'with One Nation Under a Groove (Funkadelic) teases', '3': 'with Kula jam'}",1 review(s),,"Hurt Bird Bath[1],  Mullet (Over),  Search 4,  Water >  Andy's Last Beer,  Got Your Milk (Right Here)","Women Wine and Song >  It's So Easy,  Blue Echo,  Pay the Snucka[2],  Thin Air,  JaJunk[3]",,Uncommon >  Kimble,,,,,,,
0,2008-04-16,"Higher Ground, South Burlington, VT, USA",Rue Melo,None,{'1': 'unfinished'},,,"Padgett's Profile >  Nemo >  Padgett's Profile,  Hangover,  Rocker Part 2[1],  Out Of Order >  I Am the Walrus","Wappy Sprayberry >  Nemo,  Wizard Burial Ground,  Wife Soup >  The Triple Wide >  Syncopated Strangers",,Bridgeless,,,,,,,
0,2008-04-17,"Starland Ballroom, Sayreville, NJ, USA",Rue Melo,None,{},,,"Slacker,  The Bottom Half -> Glory >  The Bottom Half,  Red,  Morning Song,  Nothing Too Fancy","Sociable Jimmy,  Der Bluten Kat,  The Floor,  Dump City >  It's About That Time >  Dump City",,Dear Prudence,,,,,,,
0,2008-04-18,"Sherman Theater, Stroudsburg, PA, USA",,None,{'1': 'unfinished'},,,"Search 4,  Great American >  Tribute to the Spinal Shaft >  Push the Pig,  Ocean Billy >  The Stranger >  Ocean Billy","2nd Self,  Higgins >  The Crooked One[1] >  Higgins,  Jessica,  Intentions Clear,  Last Man Swerving",,Miss Tinkle's Overture,,,,,,,
0,2008-04-19,"Ram's Head Live!, Baltimore, MD, USA",,None,"{'1': ""with Jake on keys; with Alex's House jam""}",,,"Bright Lights, Big City,  2x2,  Rocker Part 2 >  Kabump >  Africa,  Mulche's Odyssey","Alex's House -> End of the Road >  Wappy Sprayberry >  Partyin' Peeps,  Walletsworth,  Utopian Fir[1] -> Mail Package",,Come Closer,,,,,,,
0,2008-04-20,"""Green Apple Music Festival"" The National Mall, Washington, DC, USA",,"[""free concert also with The Roots, Gov't Mule, Toots & The Maytals, Thievery Corporation, Warren Haynes, and various speakers""]",{},,"In The Kitchen >  Glory -> In The Kitchen,  Nemo,  Plunger",,,,,,,,,,,
0,2008-04-30,"The Canopy Club, Urbana, IL, USA",EOTO,None,"{'1': 'with Brian Felix on keys', '2': 'with In the Kitchen teases', '3': '""punk version""'}",,,"The Floor,  Tribute to the Spinal Shaft[1] >  White Man's Moccasins,  All In Time >  Rocker Part 2 >  All In Time","40's Theme >  Resolution[2] >  40's Theme,  Atmosfarag,  Much Obliged >  Pipeline >  Believe the Lie,  I Want You (She's So Heavy)",,"Anchor Drops,  Uncle Wally[3]",,,,,,,
0,2008-05-01,"""Sundown In the City"" Market Square, Knoxville, TN, USA",,"['last Trenchtown Rock 04.16.2006 (250 shows)', ""Jesu Joy of Man's Desiring (Bach) was teased before Trenchtown Rock""]","{'1': 'unfinished', '2': 'with Jeff Coffin on saxophone'}",,"2nd Self,  Dump City[1] >  Slacker,  Walletsworth,  Intentions Clear[2] >  A Half Sleep[2],  Trenchtown Rock,  JaJunk",,,,"Search 4,  Wife Soup[2]",,,,,,,
0,2008-05-02,"House of Blues, New Orleans, LA, USA",,"['Late night show. During the jam after Bridgeless, the band began to play a funk groove after the man dressed as Tony Clifton invited two female dancers on stage; after the three people left the stage, another woman came out and did a brief strip tease before Wade came and carried her offstage.']","{'1': 'with One (Metallica) teases', '2': ""someone dressed as Andy Kaufman's Tony Clifton character came on stage and started ranting into the mic"", '3': 'with The Triple Wide teases'}",,,"Intro >  Miss Tinkle's Overture,  Pay the Snucka >  Alex's House >  Pay the Snucka,  Ringo[1],  Higgins,  Pay the Snucka","Bridgeless,  Jam[2],  Breathe,  Wappy Sprayberry[3] >  Got Your Milk (Right Here),  Get In The Van >  Bridgeless",,The Song Remains the Same,,,,,,,
0,2008-05-03,"House of Blues, New Orleans, LA, USA",,['Late night show'],"{'1': 'with Home (The New Deal) jam', '2': ""with Kris solo while Ryan's amp was replaced""}",,"Partyin' Peeps,  Wizard Burial Ground,  Hangover,  The Triple Wide,  Ocean Billy,  The Fussy Dutchman >  Gulf Stream,  Der Bluten Kat >  The Bottom Half[1] >  Der Bluten Kat[2]",,,,Hajimemashite >  Push the Pig >  Come Closer,,,,,,,
0,2008-05-04,"The Beale Street Music Festival, Memphis, TN, USA",,['Budweiser Stage'],"{'1': 'with Glide (The New Deal) tease', '2': 'with Billie Jean (Michael Jackson) tease', '3': 'with Cody Dickinson on washboard'}",,"In The Kitchen[1] >  Syncopated Strangers,  Plunger >  In The Kitchen,  Hurt Bird Bath[2] >  Rocker Part 2 >  End of the Road[3],  Mulche's Odyssey",,,,,,,,,,,
0,2008-05-23,"""Summer Camp Music Festival"" Three Sisters Park, Chillicothe, IL, USA",,None,"{'1': 'with The Jetsons theme (Hoyt Curtin) tease', '2': 'with Kimble tease', '3': 'unfinished'}",2 review(s),,"The Floor >  Smell the Mitten[1],  Search 4,  Utopian Fir >  Rocker Part 2[2],  Come Closer","Intro >  Mulche's Odyssey,  Divisions -> Phil's Farm[3] >  Divisions,  Der Bluten Kat >  Wappy Sprayberry >  Der Bluten Kat",,Shine On You Crazy Diamond,,,,,,,
0,2008-05-24,"""Summer Camp Music Festival"" Three Sisters Park, Chillicothe, IL, USA",,['Moonshine Stage'],"{'1': 'unfinished', '2': 'with Mike Rackey on pedal steel and George Jones on percussion with Andy', '3': 'debut, original'}",,"Got Your Milk (Right Here),  Higgins,  Example 1[1],  Great American[2],  Waist Down[3] -> Walletsworth,  Wizard Burial Ground",,,,,,,,,,,
0,2008-05-30,"""Mountain Jam"" Hunter Mountain, Hunter, NY, USA",,None,"{'1': 'with Immigrant Song (Led Zeppelin) intro', '2': 'with Roundabout (Yes) tease'}",,"Hurt Bird Bath[1] -> In The Kitchen,  Rocker Part 2,  August[2] >  Hurt Bird Bath >  All In Time >  Wappy Sprayberry -> All In Time,  Miss Tinkle's Overture",,,,,,,,,,,
0,2008-05-31,"House of Blues, Cleveland, OH, USA",,None,{'1': 'with Home and Glide (both The New Deal) jams'},,,"Bridgeless >  Words >  Blue Echo -> Mail Package,  Water >  In the Flesh? >  Another Brick in the Wall -> Bridgeless","Search 4,  The Triple Wide[1],  Waist Down,  Much Obliged,  Push the Pig >  JaJunk",,Hangover,,,,,,,
0,2008-06-05,"The Intersection, Grand Rapids, MI, USA",,None,"{'1': 'with Syncopated Strangers teases', '2': 'with The Triple Wide tease in intro, and with The Woody Woodpecker Song (Tibbles/Idriss) tease'}",1 review(s),,"Smell the Mitten,  Intentions Clear[1] -> Syncopated Strangers[2],  40's Theme >  Meeting in the Aisle >  40's Theme","Ringo >  Robot World -> Thin Air,  Waist Down,  Padgett's Profile,  The Fuzz >  Ringo",,Mullet (Over),,,,,,,
0,2008-06-06,"St. Andrews Hall, Detroit, MI, USA",,None,"{'1': ""with Ain't Talkin' 'Bout Love, Hot For Teacher, Mean Street, and Eruption (Van Halen) teases in intro"", '2': 'incomplete'}",,,"Example 1,  The Bottom Half >  Atmosfarag >  The Bottom Half,  Pay the Snucka >  Andy's Last Beer >  Pay the Snucka[1] -> Immigrant Song","#5,  Resolution >  Nothing Too Fancy >  Walletsworth,  Dump City",,Hey Nineteen >  (Don't Fear) The Reaper[2] >  Nothing Too Fancy,,,,,,,
0,2008-06-07,"St. Andrews Hall, Detroit, MI, USA",,['last America the Beautiful 07.04.2004 (512 shows)'],"{'1': 'Ryan solo', '2': ""with Xxplosive (Dr. Dre), Ain't No Fun (If the Homies Can't Have None) (Snoop Dogg), Regulate (Warren G) and Lose Yourself (Eminem) teases"", '3': '""lounge version""'}",,,"Eat >  2nd Self >  Eat,  13 Days,  All Things Ninja >  America the Beautiful[1] >  Angular Momentum >  All Things Ninja,  FF[2] >  Alex's House","Search 4,  The Floor,  Miss Tinkle's Overture,  That's All >  Nemo,  Wizard Burial Ground",,"Nopener[3],  Got Your Milk (Right Here)",,,,,,,
0,2008-06-13,"Bonnaroo Music & Arts Festival, Manchester, TN, USA",,['Sonic Stage'],{},,"2nd Self,  Rocker Part 2,  End of the Road,  Mulche's Odyssey",,,,Syncopated Strangers,,,,,,,
0,2008-07-05,"Saturday In the Park, Sioux City, IA, USA",,['Supporting Phil Lesh and Friends'],{'1': 'with Third Stone from the Sun (Jimi Hendrix) jam'},,"Resolution -> The Bottom Half[1],  August >  End of the Road >  August,  All In Time,  In The Kitchen >  Glory >  In The Kitchen,  The Song Remains the Same",,,,,,,,,,,
0,2008-07-06,"Weesner Family Amphitheater, Minnesota Zoo, Apple Valley, MN, USA",,None,"{'1': 'unfinished', '2': 'unfinished; with Jake on keys'}",,,"Atmosfarag,  Got Your Milk (Right Here),  Tribute to the Spinal Shaft -> The Crooked One[1] -> Walletsworth,  Words","Ringo >  Eat >  Ringo >  Search 4,  The Triple Wide >  Andy's Last Beer,  Example 1[2] >  Ringo",,Hajimemashite >  Sociable Jimmy,,,,,,,
0,2008-07-10,"Willow Island at Alliant Energy Center, Madison, WI, USA",,['Sound Tribe Sector 9 opened'],{'1': 'with Crazy Train (Ozzy Osbourne) teases'},,"Wappy Sprayberry -> Der Bluten Kat >  Alex's House >  Der Bluten Kat,  Higgins[1],  Bridgeless",,,,,,,,,,,
0,2008-07-11,"""Live Off The Levee"" Soldiers Memorial Plaza, St. Louis, MO, USA",,['opened for Sound Tribe Sector 9'],{'1': 'with La Grange (ZZ Top) jam'},,"#5 >  Believe the Lie,  Professor Wormbog >  Intentions Clear[1] >  Mulche's Odyssey,  Push the Pig",,,,,,,,,,,
0,2008-07-12,"Westfair Amphitheatre, Council Bluffs, IA, USA",,['opened for Sound Tribe Sector 9'],{},,"Nothing Too Fancy >  Breathe,  Rocker Part 2 >  Mail Package,  Uncle Wally >  Nothing Too Fancy,  Morning Song,  White Man's Moccasins,  Nemo,  The Floor",,,,,,,,,,,
0,2008-07-15,"Moonlite Gardens, Cincinnati, OH, USA",,"['Sound Tribe Sector 9 opened', 'with White Summer (Led Zeppelin) tease before Search 4']",{'1': 'with Kula jam'},,"Utopian Fir[1] >  Out Of Order,  Bright Lights, Big City,  Search 4,  Hurt Bird Bath,  40's Theme",,,,,,,,,,,
0,2008-07-16,"Innsbrook Pavilion, Glen Allen, VA, USA",,['Sound Tribe Sector 9 closed'],{},,"Great American >  Much Obliged >  Great American >  Syncopated Strangers,  Miss Tinkle's Overture,  Roulette,  2nd Self,  In The Kitchen,  Layla,  JaJunk",,,,,,,,,,,
0,2008-07-17,"Lifestyle Communities Pavilion, Columbus, OH, USA",,['Sound Tribe Sector 9 opened'],{'1': 'began with Honky Tonk Women (Rolling Stones) tease'},,"Wizard Burial Ground,  Making Flippy Floppy >  Kat's Tune >  Wife Soup >  The Fussy Dutchman,  Water,  Partyin' Peeps >  Water >  Ringo,  Plunger[1]",,,,,,,,,,,
0,2008-07-18,"The Lawn at White River State Park, Indianapolis, IN, USA",,['Sound Tribe Sector 9 opened'],{},1 review(s),"The Triple Wide >  2x2 >  Get In The Van,  Slacker,  Blue Echo >  Walletsworth,  Rhinoceros >  FF >  Divisions",,,,,,,,,,,
0,2008-07-19,"Charter One Pavilion at Northerly Island, Chicago, IL, USA",,['Sound Tribe Sector 9 opened'],{'1': 'with Another Brick In the Wall (Pink Floyd) teases'},1 review(s),"All In Time >  Wappy Sprayberry[1] >  All In Time,  Search 4,  Tribute to the Spinal Shaft >  Hajimemashite >  Mulche's Odyssey,  Waist Down,  Hurt Bird Bath",,,,,,,,,,,
0,2008-07-24,"Roseland Ballroom, New York, NY, USA",,['Sound Tribe Sector 9 opened'],{},,"JaJunk >  Higgins,  Soul Food I,  Ocean Billy,  Nothing Too Fancy >  Got Your Milk (Right Here) >  Nothing Too Fancy,  Syncopated Strangers,  Rocker Part 2 >  JaJunk,  Come Closer",,,,,,,,,,,
0,2008-07-25,"Theater of Living Arts, Philadelphia, PA, USA",,['Late night show.'],"{'1': 'with David Murphy replacing Ryan on bass and Zach Velmer replacing Kris on drums', '2': ""with Xxplosive (Dr. Dre) and Ain't No Fun (If the Homies Can't Have None) (Snoop Dogg) jams"", '3': 'with Norwegian Wood (The Beatles) jam'}",2 review(s),"Pay the Snucka >  Miss Tinkle's Overture,  Hangover,  Kabump >  Gulf Stream,  Push the Pig[1],  Regulate[2] >  Resolution[3] -> Pay the Snucka",,,,40's Theme,,,,,,,
0,2008-07-26,"Bank of America Pavilion, Boston, MA, USA",,['Sound Tribe Sector 9 opened'],"{'1': 'with Glory tease', '2': ""with (Don't Fear) the Reaper (Blue Öyster Cult) jam and verse""}",,"Eat[1] >  Alex's House >  The Triple Wide[2] >  Eat,  Abacab,  Mail Package,  Wappy Sprayberry,  Prowler >  In The Kitchen >  Wizard Burial Ground",,,,,,,,,,,
0,2008-07-27,"Pier Six Pavilion, Baltimore, MD, USA",,['Sound Tribe Sector 9 closed'],"{'1': 'with In a Silent Way (Miles Davis) teases', '2': 'with Brendan and Jake on acoustics', '3': 'with Sweet Home Alabama (Lynyrd Skynyrd) teases'}",,"Sociable Jimmy,  The Floor,  Passing[1] >  Robot World[2],  Phil's Farm[2],  We're Going to War[3] >  White Man's Moccasins,  Runnin' with the Devil,  Intentions Clear >  Believe the Lie",,,,,,,,,,,
0,2008-07-30,"House of Blues, North Myrtle Beach, SC, USA",,['Sound Tribe Sector 9 closed'],{},,"Atmosfarag >  Hurt Bird Bath,  Utopian Fir >  Rocker Part 2 >  Utopian Fir >  Much Obliged >  The Fuzz >  London Calling >  Tribute to the Spinal Shaft >  Higgins",,,,,,,,,,,
0,2008-07-31,"Lincoln Theatre, Raleigh, NC, USA",,"['late night show', 'last Billie Jean 07.09.2005 (389 shows)']","{'1': 'unfinished', '2': 'debut, The Police', '3': 'with The Safety Dance (Men Without Hats) jam', '4': 'with Bon Lozaga replacing Brendan and Mike Miz replacing Jake when Brendan returned; with Jake on percussion'}",1 review(s),"Nothing Too Fancy >  Ringo[1] >  Slacker,  #5 >  Bright Lights, Big City -> Voices Inside My Head[2] >  Nothing Too Fancy,  The Girl Is Mine >  Jane Says >  The Girl Is Mine[3] >  Billie Jean -> Mulche's Odyssey",,,,It's About That Time[4],,,,,,,
0,2008-08-01,"Masquerade Music Park, Atlanta, GA, USA",,['Sound Tribe Sector 9 closed'],"{'1': ""with Ain't No Fun (If the Homies Can't Have None) (Snoop Dogg) jams"", '2': 'with Rhiannon (Fleetwood Mac) jam', '3': 'unfinished'}",,"Dump City[1],  Search 4,  Anchor Drops,  Got Your Milk (Right Here)[2] >  The Crooked One[3] >  Thin Air,  Wappy Sprayberry >  Shine On You Crazy Diamond",,,,,,,,,,,
0,2008-08-03,"""Gathering of the Vibes"" Seaside Park, Bridgeport, CT, USA",,None,"{'1': ""unfinished; with Alex's House and White Man's Moccasins teases""}",,"Walletsworth,  Wife Soup[1] -> Plunger >  Words,  Bridgeless,  Miss Tinkle's Overture -> JaJunk",,,,,,,,,,,
0,2008-08-09,"Up North Festival, Hiram, ME, USA",,None,{'1': 'with Wife Soup teases'},1 review(s),"Partyin' Peeps,  Sociable Jimmy,  2nd Self,  Rocker Part 2,  Utopian Fir >  Hurt Bird Bath[1],  The Bottom Half,  Der Bluten Kat",,,,Nothing Too Fancy >  In the Flesh? >  Another Brick in the Wall >  Nothing Too Fancy,,,,,,,
0,2008-08-31,"Red Rocks Amphitheatre, Morrison, CO, USA",,"[""Supporting Gov't Mule""]",{'1': 'with Norwegian Wood (The Beatles) jam'},,"Search 4,  Wappy Sprayberry >  Higgins,  The Bottom Half >  Glory >  The Bottom Half,  Divisions >  Pipeline >  Resolution[1] >  Divisions >  JaJunk",,,,,,,,,,,
0,2008-09-01,"The Fox Theatre, Boulder, CO, USA",,"['last Duck Butter 12.11.2003 (612 shows)', 'last Raymond 04.09.2006 (292 shows)']","{'1': 'Brendan and Jake on acoustics', '2': 'Ryan solo', '3': 'just Ryan and Jake; Jake on acoustic', '4': 'debut, Grateful Dead; Jake solo acoustic; unfinished', '5': 'with David Murphy on bass and Brendan and Jake on acoustics', '6': 'Brendan on acoustic and Jake on percussion; unfinished', '7': 'with Jake on keys, Brendan on acoustic; no lyrics; unfinished', '8': 'Brendan and Jake on acoustics; ended with piano solo and duet featuring Joel and Jake'}",,,"Great American[1],  Water[1],  That's the Way[1],  Eat[1],  Liquid[1] >  Plunger[1],  America the Beautiful[2],  Duck Butter[3] >  Crazy Fingers[4],  40's Theme[1]","Rocker Part 2[5] >  End of the Road[1],  August[1] -> Raymond[6],  Bad Poker[1],  Passing[1],  Utopian Fir[7],  That's All[1] >  Hajimemashite[8] >  Uncle Wally[1],  Mullet (Over)[1]",,Memories of Home[1] >  Can't Find My Way Home[1] >  Night Moves[1],,,,,,,
0,2008-09-05,"Robert  J.  Fischgrund  Center for Performing Arts, South Bend, IN, USA",,None,{'1': 'unfinished'},,,"2x2,  Wife Soup[1] >  Waist Down,  Ringo >  Kimble,  Partyin' Peeps,  Africa","All In Time >  Breathe >  The Triple Wide >  Gulf Stream,  Miss Tinkle's Overture,  Much Obliged >  Hajimemashite >  Much Obliged >  Drums >  All In Time",,FF >  Bridgeless,,,,,,,
0,2008-09-11,"La Zona Rosa, Austin, TX, USA",,None,"{'1': 'with Push the Pig intro', '2': 'with Roundabout (Yes) teases'}",,,"Professor Wormbog[1],  Walletsworth,  The Crooked One >  The Fuzz >  Thin Air[2],  Search 4,  2nd Self","Get In The Van,  Got Your Milk (Right Here),  Hurt Bird Bath,  Sociable Jimmy >  Sweetness >  Dump City,  Mulche's Odyssey",,Alex's House >  I Ran,,,,,,,
0,2008-09-12,"The Granada Theater, Dallas, TX, USA",,None,"{'1': ""with Stairway to Heaven (Led Zeppelin) and Ain't Talkin' 'bout Love (Van Halen) teases""}",,,"Rocker Part 2 >  The Fussy Dutchman,  Intentions Clear >  Kabump >  Example 1,  Prowler[1] >  The Floor","In The Kitchen,  Phil's Farm >  End of the Road >  Phil's Farm,  Out Of Order,  Divisions",,Syncopated Strangers >  Wizard Burial Ground,,,,,,,
0,2008-09-13,"""Harvest Music Festival"" Mulberry Mountain, Ozark, AR, USA",,None,"{'1': '""Jimmy Stewart"" with lyrics', '2': 'with Willie the Pimp (Frank Zappa) jam and Stairway to Heaven (Led Zeppelin) and Xxplosive (Dr. Dre) teases', '3': 'with Jake on drums and Kris on vocals for a portion', '4': 'with Norwegian Wood (The Beatles) jam; with Bill McKay on keys', '5': 'debut, Sly and the Family Stone; with Bill McKay on keys', '6': 'with The Triple Wide tease', '7': 'with The Rain Song (Led Zeppelin) ending'}",1 review(s),,"Slacker,  Der Bluten Kat[1] >  Atmosfarag >  Der Bluten Kat[2],  Mullet (Over)","Front Porch[3] >  Resolution[4] >  Thank You (Falettinme Be Mice Elf Agin)[5],  Young Lust,  Nothing Too Fancy >  FF >  Higgins",,August >  Nothing Too Fancy[6] >  The Song Remains the Same[7],,,,,,,
0,2008-09-14,"The Tabernacle, Atlanta, GA, USA",,['make-up show for cancelled 08.02.2008 show'],"{'1': 'with Search 4 tease', '2': ""with Alex's House teases""}",,,"Bridgeless[1] >  Push the Pig,  Tribute to the Spinal Shaft >  Morning Song,  Last Man Swerving >  Bridgeless","Pay the Snucka[2] >  Utopian Fir >  Mail Package,  Anchor Drops >  The Triple Wide >  Ringo >  Pay the Snucka",,"Mean Mr. Mustard >  Polythene Pam >  She Came In Through The Bathroom Window,  40's Theme",,,,,,,
0,2008-10-02,"Kalamazoo State Theatre, Kalamazoo, MI, USA",,None,{'1': 'with Stranglehold (Ted Nugent) jam'},,,"Nothing Too Fancy >  Push the Pig,  Rocker Part 2,  Hajimemashite >  Making Flippy Floppy >  Nothing Too Fancy","Miss Tinkle's Overture >  Higgins >  Miss Tinkle's Overture,  Syncopated Strangers,  All In Time >  Robot World[1] >  All In Time",,The Girl Is Mine >  Jane Says >  The Girl Is Mine >  Space Funk Booty >  Believe the Lie,,,,,,,
0,2008-10-03,"Emens Auditorium, Muncie, IN, USA",,None,{'1': 'with Glide (The New Deal) teases'},,,"Nemo >  Water,  Der Bluten Kat >  Passing >  Der Bluten Kat,  Intentions Clear >  Nemo","Wappy Sprayberry -> The Fussy Dutchman[1] >  Walletsworth,  The Bottom Half >  Dr. Feelgood >  The Bottom Half,  Slacker,  Wizard Burial Ground",,"End of the Road,  Band on the Run",,,,,,,
0,2008-10-04,"Peoria Ribfest & Chili Cook-Off, Peoria, IL, USA",,None,{'1': 'with Stairway to Heaven (Led Zeppelin) ending'},1 review(s),,"Hangover,  Eat,  Got Your Milk (Right Here) >  Uncle Wally,  40's Theme","Hurt Bird Bath,  Much Obliged >  Uncommon,  Andy's Last Beer,  Example 1,  In The Kitchen >  Mail Package",,The Triple Wide[1],,,,,,,
0,2008-10-09,"Northern Lights, Clifton Park, NY, USA",Conspirator and Electron,None,{'1': 'with Soul Food II intro containing Roundabout (Yes) teases'},,,"Get In The Van,  13 Days,  Soul Food I >  Plunger >  Pay the Snucka","Bridgeless >  Sociable Jimmy,  Dump City,  Cherub Rock,  Ringo,  Thin Air",,Plunger[1] >  Bridgeless,,,,,,,
0,2008-10-10,"Higher Ground, South Burlington, VT, USA",Conspirator,None,"{'1': 'with In a Silent Way (Miles Davis) tease', '2': 'with Aron Magner replacing Joel', '3': 'with Aron Magner and Marc Brownstein replacing Joel and Ryan', '4': 'ended with Hysteria (Def Leppard) tease'}",,,"The Bottom Half >  Glory[1] >  The Bottom Half,  Liquid >  Resolution[2] >  Dear Prudence[3] >  Another Brick in the Wall[3] >  #5","Miss Tinkle's Overture,  Ocean Billy >  Kula >  Ocean Billy,  August[4],  Waist Down,  Much Obliged >  2x2",,Lenny >  The Floor,,,,,,,
0,2008-10-11,"Higher Ground, South Burlington, VT, USA",Conspirator,None,"{'1': '""Jimmy Stewart"" with lyrics'}",,,"JaJunk[1],  2nd Self,  Search 4,  Morning Song,  Eat","Wappy Sprayberry >  Higgins >  Kabump >  Higgins,  Can't You Hear Me Knocking,  Blue Echo >  Wife Soup",,Mulche's Odyssey,,,,,,,
0,2008-10-13,"""Moogfest 2008"" The Grand Ballroom, New York, NY, USA",,None,{'1': 'with Jamie Shields on keys'},1 review(s),"Great American,  Push the Pig,  Hurt Bird Bath,  End of the Road >  Syncopated Strangers,  Abacab[1]",,,,,,,,,,,
0,2008-10-14,"Blender Theater at Gramercy, New York, NY, USA",,None,"{'1': 'with Roundabout (Yes) tease', '2': 'with Master of Puppets and One (both Metallica) teases', '3': 'debut (standalone), original', '4': 'with Rob Marscher on keys'}",1 review(s),,"White Man's Moccasins >  The Pequod >  White Man's Moccasins >  Plunger,  Utopian Fir[1],  In The Kitchen","Padgett's Profile,  Bridgeless[2] >  Glory -> Bridgeless,  Anchor Drops,  Snake Juice[3] >  Rocker Part 2,  Bloody Well Right,  40's Theme[4]",,Slacker,,,,,,,
0,2008-10-15,"Blender Theater at Gramercy, New York, NY, USA",,None,"{'1': 'unfinished', '2': 'one verse', '3': ""(Don't Fear) The Reaper (Blue Öyster Cult) tease"", '4': ""with (Don't Fear) The Reaper (Blue Öyster Cult) tease""}",1 review(s),,All In Time[1] >  Gulf Stream -> Atmosfarag >  Andy's Last Beer >  Hajimemashite,"The Triple Wide -> (Don't Fear) The Reaper[2] >  The Triple Wide[3] >  The Floor,  Miss Tinkle's Overture,  Kula >  Waist Down,  The Fuzz >  Black Sabbath >  War Pigs",,The Fussy Dutchman >  Partyin' Peeps[4],,,,,,,
0,2008-10-16,"Blender Theater at Gramercy, New York, NY, USA",,None,"{'1': ""with Can't You Hear Me Knocking (The Rolling Stones) tease"", '2': 'completes 10.15.2008 version', '3': 'with Let Me Blow Ya Mind (Eve) teases', '4': 'with Rhiannon (Fleetwood Mac) jam'}",1 review(s),,"Walletsworth,  Alex's House -> Meeting in the Aisle >  Wappy Sprayberry[1] >  Der Bluten Kat","Prowler >  All In Time[2],  The Crooked One[3] >  Got Your Milk (Right Here) -> Nothing Too Fancy >  I Am the Walrus -> Nothing Too Fancy[4]",,"Intentions Clear,  Señor Mouse",,,,,,,
0,2008-10-17,"Smith Opera House, Geneva, NY, USA",,None,"{'1': '""Jimmy Stewart"" with lyrics'}",1 review(s),,"Uncle Wally >  Tribute to the Spinal Shaft >  Water,  Last Train Home,  Search 4,  Robot World","Phil's Farm -> Partyin' Peeps -> Phil's Farm,  Out Of Order -> Sweetness[1],  FF >  ...And Justice for All,  The Bottom Half",,Front Porch -> Flying >  Front Porch,,,,,,,
0,2008-10-18,"Electric Factory, Philadelphia, PA, USA",American Babies,None,"{'1': 'with Jon Gutwillig replacing Brendan', '2': ""with Can't You Hear Me Knocking (The Rolling Stones) teases""}",,,"2nd Self,  #5,  Mulche's Odyssey,  Nemo,  Rocker Part 2,  Wizard Burial Ground","August,  Ocean Billy >  Resolution >  Ocean Billy,  Rosanna[1] >  Bright Lights, Big City[2]",,JaJunk >  A Go Go >  JaJunk,,,,,,,
0,2008-10-23,"Richard's on Richards, Vancouver, BC, Canada",,None,{'1': 'unfinished; with War Pigs (Black Sabbath) and Paint It Black (The Rolling Stones) teases'},1 review(s),,"Eat >  The Bottom Half >  Eat,  Example 1,  Tribute to the Spinal Shaft -> Sociable Jimmy >  The Floor","The Crooked One[1] -> Intentions Clear,  In The Kitchen,  Mullet (Over)",,Syncopated Strangers >  Hey Nineteen >  Syncopated Strangers,,,,,,,
0,2008-10-24,"Crystal Ballroom, Portland, OR, USA",,None,"{'1': ""with Baba O'Riley (The Who) jam""}",,,"Soul Food I >  Liquid >  Words >  Hurt Bird Bath,  Search 4,  Higgins >  Rainbow Country >  Higgins","Wife Soup[1] >  Smell the Mitten,  Morning Song,  40's Theme,  Great American >  FF >  Believe the Lie",,Shine On You Crazy Diamond,,,,,,,
0,2008-10-25,"Showbox at the Market, Seattle, WA, USA",,None,"{'1': 'with Crazy Train (Ozzy Osbourne) jam', '2': 'with Xxplosive and Still D.R.E. (both Dr. Dre) teases'}",,,"Pay the Snucka[1] >  Partyin' Peeps,  Hangover,  Miss Tinkle's Overture,  Ringo >  White Man's Moccasins >  Ringo","Der Bluten Kat,  Wappy Sprayberry >  Pay the Snucka,  Africa,  Push the Pig[2]",,"Glory,  Bright Lights, Big City",,,,,,,
0,2008-10-27,"Crystal Bay Club Casino, Crystal Bay, NV, USA",,None,{},,,"Much Obliged >  Got Your Milk (Right Here),  JaJunk >  2nd Self >  JaJunk,  Sociable Jimmy","The Fussy Dutchman,  Thin Air,  Peter Gunn / Every Breath You Take >  Meeting in the Aisle >  Roulette,  The Haunt,  Slacker",,Resolution >  Kula,,,,,,,
