,date,title,support,notes,tags,reviews,One Set,Set 1,Set 2,Set 3,Encore,2nd Encore,3rd Encore,Quarter 1,Quarter 2,Quarter 3,Quarter 4,Overtime
0,2020-02-12,"Graceland Soundstage at Elvis Presley’s Memphis, Memphis, TN,",,['last Graceland 10.01.2010 (943 shows)'],{'1': 'incomplete'},,,"40's Theme >  White Man's Moccasins,  Got Your Milk (Right Here) -> Out Of Order >  No Diablo,  Soul Food II[1] >  Women Wine and Song >  Higgins","Nothing Too Fancy >  Much Obliged >  Hajimemashite,  Ringo >  Wife Soup,  The Linear >  Nothing Too Fancy",,Graceland >  Glory,,,,,,,
0,2020-02-13,"The Caverns, Pelham, TN,",,None,"{'1': 'with Cavern (Phish) tease and quote', '2': 'with Over the Hills and Far Away (Led Zeppelin) teases'}",,,"Bathing Digits >  The Triple Wide,  In The Black,  Utopian Fir[1] >  Syncopated Strangers,  Remind Me","The Floor,  Xmas at Wartime >  Robot World >  Fame,  Nemo[2] >  The Bottom Half,  Last Man Swerving >  Puppet String",,I Ran,,,,,,,
0,2020-02-14,"Exploreasheville.com Arena, Asheville, NC, USA",Billy Strings and Empire Strikes Brass,None,"{'1': 'with Billy Strings on guitar', '2': 'with Roundabout (Yes) intro'}",,,"Goonville >  Crucial Taunt,  Mad Love >  Booth Love >  Andy's Last Beer,  Hurt Bird Bath,  In The Kitchen","Smell the Mitten,  All In Time >  The Weight Around,  Great American[1],  Phil's Farm[1],  1348[2]",,It Doesn't Matter >  All In Time,,,,,,,
0,2020-02-15,"Exploreasheville.com Arena, Asheville, NC, USA",Billy Strings and Empire Strikes Brass,['last Voodoo Child 02.21.2014 (574 shows)'],"{'1': 'with Empire Strikes Brass', '2': 'with Billy Strings on guitar'}",,,"October Rain >  Roctopus,  The Silent Type,  Made to Measure >  Eat,  Deeper >  Miss Tinkle's Overture,  National Loser Anthem[1],  Bad Friday[1]","Dark Brush,  Dump City,  Voodoo Child[2],  Bridgeless >  Night Nurse >  Attachments,  Pay the Snucka >  Bridgeless",,Half Delayed >  Pay the Snucka,,,,,,,
0,2020-02-26,"Midtown Ballroom, Bend, OR, USA",Andy Frasco & The U.N.,['with YYZ (Rush) tease before Intentions Clear'],"{'1': 'with La Grange (ZZ Top) tease', '2': ""with Paradise City (Guns N' Roses) teases, jam, and quote""}",,,"Nipple Trix >  The Floor,  North Route >  Mulche's Odyssey,  13 Days >  Conduit,  Cemetery Walk >  Cemetery Walk II","Der Bluten Kat,  Intentions Clear[1] >  Power of Soul,  Draconian >  Go to Hell",,Booth Love[2],,,,,,,
0,2020-02-27,"McDonald Theatre, Eugene, OR, USA",Andy Frasco & The U.N.,None,"{'1': 'with Mike Dillon on percussion', '2': ""with Domino Theory, Paradise City (Guns N' Roses), and Black Sabbath (Black Sabbath) teases"", '3': ""with Can't You Hear Me Knocking (the Rolling Stones) tease"", '4': ""with Ernie Chang on saxophone; with Can't You Hear Me Knocking (the Rolling Stones) tease""}",,,"Drink My Drank >  Educated Guess,  It Doesn't Matter[1],  Maybe Someday >  Smell the Mitten,  Bad Poker,  Loose Ends >  Slacker","Hurt Bird Bath[2],  Speak Up[3],  Girlfriend is Better[4] >  Ocean Billy",,Remind Me,,,,,,,
0,2020-02-28,"Crystal Ballroom, Portland, OR, USA",Andy Frasco & The U.N.,['with YYZ (Rush) jam after Half Delayed'],"{'1': 'with 2112: Discovery (Rush) intro', '2': 'with Andy Frasco on vocals and Al Schnier replacing Brendan on guitar'}",,,"You Got the Wrong Guy >  Walletsworth >  1348 >  In The Black,  Bad Friday,  Forks,  Wappy Sprayberry >  The Fussy Dutchman >  Puppet String","Synchronicity II,  Miss Tinkle's Overture[1],  Andy's Last Beer,  Suxity,  Night Nurse >  1348,  Half Delayed,  Nopener,  JaJunk",,Don't You (Forget About Me)[2],,,,,,,
0,2020-02-29,"Showbox SoDo, Seattle, WA, USA",Andy Frasco & The U.N.,['last Pipeline 04.08.2016 (361 shows)'],"{'1': 'with Rhiannon (Fleetwood Mac) tease; unfinished', '2': 'with Hindsight and Thunderstruck (AC/DC) teases', '3': 'with Ike Willis on vocals and Marcus Rezak on guitar', '4': 'with Use Me (Bill Withers) and Breathe (Pink Floyd) jams', '5': 'with Ernie Chang on saxophone and Andee Avila on percussion; with Binary Sunset (John Williams) tease and Working Day and Night (Michael Jackson) jam', '6': 'with Let Me Blow Ya Mind (Eve) teases'}",1 review(s),,"Le Blitz >  Crucial Taunt,  The Triple Wide[1] >  2x2,  Mullet (Over),  Hindsight,  Prowler[2] >  Example 1,  Life During Exodus[3]","The Silent Type,  All In Time[4] >  Day Nurse[5],  August,  Utopian Fir >  Bombtrack >  Utopian Fir[6] >  Pipeline",,The Weight Around >  All In Time,,,,,,,
0,2020-03-05,"Belly Up Aspen, Aspen, CO, USA",,None,"{'1': ""with Can't You See (The Marshall Tucker Band) tease"", '2': 'with Not Fade Away (Buddy Holly) tease', '3': 'partial', '4': 'with Hajimemashite tease in intro', '5': 'with ""Jiggle Thing"" (Bayliss) intro', '6': 'incomplete'}",,,"Higgins >  #5,  Push & Pull,  Breaker[1] >  Cut Off,  Can't Stand Losing You,  Similar Skin","Little Gift -> In The Kitchen[2] >  Thin Air,  Resolution >  Can't You See[3] >  Resolution >  Upward[4],  Plunger",,Phil's Farm[5] >  Cocaine[6] >  Phil's Farm,,,,,,,
0,2020-03-06,"Belly Up Aspen, Aspen, CO, USA",,['last  ...And Justice For All 03.11.2017 (273 shows)'],"{'1': 'unfinished', '2': 'with Last Man Swerving tease', '3': 'just Joel on piano'}",,,"Red Tape,  Tribute to the Spinal Shaft >  Uncle Wally,  Water >  The Triple Wide[1] -> The Fuzz[2] >  Seasons","Preamble >  Mantis >  Ringo,  Partyin' Peeps,  Miami Virtue >  Kimble,  Hajimemashite >  Mantis",,"Orfeo[3],  ...And Justice for All",,,,,,,
0,2020-03-07,"Belly Up Aspen, Aspen, CO, USA",,None,"{'1': 'with Glory intro', '2': 'with Final Word tease', '3': ""with La Grange (ZZ Top) jam and (Don't Fear) The Reaper (Blue Oyster Cult) tease"", '4': 'first time played, Pearl Jam; one verse'}",,,"JaJunk -> Mail Package,  2nd Self[1],  Intentions Clear -> Professor Wormbog,  Der Bluten Kat[2] >  Final Word >  Der Bluten Kat[3]","Hurt Bird Bath -> Footsteps[4] >  Hurt Bird Bath,  Ocean Billy >  1348 >  Ocean Billy,  Booth Love -> Rocker Part 2,  Suxity >  JaJunk",,Regulate >  1348,,,,,,,
0,2020-06-10,"Boondock Studios, Niles, MI, USA",,"[""the band played live from Jake's Boondock Studio as a virtual concertThis show does not count for statistics.""]",{'1': 'unfinished'},,"Glory >  Puppet String,  Maybe Someday,  Utopian Fir >  Trenchtown Rock,  Hajimemashite >  Ringo,  All In Time >  Day Nurse,  Remind Me[1] >  All In Time",,,,,,,,,,,
0,2020-06-11,"Boondock Studios, Niles, MI, USA",,"[""the band played live from Jake's Boondock Studio as a virtual concertThis show does not count for statistics.""]","{'1': 'with In A Silent Way (Miles Davis) teases; unfinished', '2': 'with Mind Left Body (Kanter/Garcia) jam', '3': 'with $5.00 Foot Long (Subway commercial) jam and quotes'}",,"JaJunk -> The Floor >  JaJunk,  August,  Bad Poker,  Night Nurse >  Plunger,  Speak Up[1] >  Example 1,  Dump City[2],  Gulf Stream,  Phil's Farm[3]",,,,,,,,,,,
0,2020-09-02,"Wrapped In the Round, Chicago, IL, USA",,"['show featured Stew Art moments, with fan suggestions chosen out of a bowl', 'This show does not count for statistics.']","{'1': 'with Stew Art selections ""Fripp It and Rip It,"" which included Frame By Frame (King Crimson) tease, and ""Baby Making Music""', '2': 'with Stew Art selections ""No Mr. Bond, I Expect You to Die"" and ""Eddie Van Halen Meets Axel Foley,"" which included Axel F (Harold Faltermeyer) and Hot For Teacher and Jump (Van Halen) teases'}",1 review(s),"Conduit >  The Linear >  Make It Right,  Mulche's Odyssey[1],  Attachments,  Preamble >  Mantis[2],  Partyin' Peeps,  Crucial Taunt,  40's Theme",,,,,,,,,,,
0,2020-09-03,"Wrapped In the Round, Chicago, IL, USA",,"['show featured Stew Art moments, with fan suggestions chosen out of a bowlThis show does not count for statistics.']","{'1': 'with Stew Art selections ""Technical Difficulties"" and ""Rocket Launch""', '2': 'with Stew Art selection ""Underwater Ghost,"" which featured Jake on bass and Hang Up Your Hang Ups (Herbie Hancock) teases'}",,"Miss Tinkle's Overture,  Looks,  Slacker >  Miami Virtue[1] >  2x2,  Resolution[2] >  Half Delayed -> Den,  Roundabout,  Liberty Echo >  Hajimemashite",,,,,,,,,,,
0,2020-09-05,"""At the Drive Inn"" SeatGeek Stadium, Bridgeview, IL, USA",,['with Cars (Gary Newman) tease before Hurt Bird Bath'],{},,,"1348 >  Gulf Stream,  Bad Friday,  Seasons,  JaJunk >  Wife Soup,  Speak Up,  Synchronicity II >  1348","The Silent Type,  All In Time >  Roctopus,  Hurt Bird Bath,  Booth Love -> All In Time,  Making Flippy Floppy",,Remind Me,,,,,,,
0,2020-09-06,"""At the Drive Inn"" SeatGeek Stadium, Bridgeview, IL, USA",,None,"{'1': 'with Shine On You Crazy Diamond (Pink Floyd) teases', '2': ""with Paradise City (Guns N' Roses) and Hold On Loosely (38 Special) teases"", '3': 'with I Got Love (Nate Dogg) jam', '4': 'completing the 09.05.2020 version'}",,,"Puppet String >  The Floor,  No Diablo,  It Doesn't Matter[1] >  Maybe Someday[2],  Ocean Billy,  Day Nurse","Suxity,  Wappy Sprayberry >  Plunger >  Push the Pig[3] >  JaJunk[4],  Divisions >  Hollywood Nights >  Puppet String",,Bridgeless,,,,,,,
0,2019-01-11,"The National, Richmond, VA, USA",The Trongone Band,None,{'1': 'with Jake on keys'},,,"It Doesn't Matter >  Alex's House >  Similar Skin[1],  Bad Poker,  Der Bluten Kat >  Fool in the Rain >  Der Bluten Kat,  Looks","Preamble >  Mantis >  Believe the Lie,  Seasons,  Dump City -> Walking On The Moon >  Dump City,  Mantis",,Hangover >  Glory,,,,,,,
0,2019-01-12,"The National, Richmond, VA, USA",The Trongone Band,"['with Birthday (The Beatles) teases before 2nd Self, for Joel and Chris Mitchell', 'last I Heard It Through the Grapevine 08.14.2014 (402 shows)', 'with Happy Birthday tease before Ringo']","{'1': 'with false start', '2': 'with Jake on keys', '3': 'unfinished'}",,,"Miss Tinkle's Overture,  2nd Self[1],  Sociable Jimmy >  I Heard It Through the Grapevine >  Sociable Jimmy >  Sweetness >  Rocker Part 2,  Half Delayed >  Water,  Breaker","Power of Soul >  Spires >  Ocean Billy[2],  Ringo[3] >  The Linear,  The Bottom Half",,Kimble >  The Silent Type,,,,,,,
0,2019-01-15,"""Jam Cruise 17"" Norwegian Jade, Atlantic Ocean, Atlantic Ocean",,['Pool Deck'],{},,"Remind Me,  40's Theme,  FF >  Roctopus,  Ocean Billy >  JaJunk,  Half Delayed >  Wappy Sprayberry >  Baba O'Riley",,,,Driven to Tears >  Ocean Billy,,,,,,,
0,2019-01-16,"""Jam Cruise 17"" Norwegian Jade, Atlantic Ocean, Atlantic Ocean",,['Stardust Theater'],"{'1': ""with YYZ (Rush), and Nuthin' but a 'G' Thang and Xxplosive (Dr. Dre) teases; unfinished"", '2': 'with Chris Brouwers on trumpet, Greg Sanderson on tenor saxophone, and Josh Schwartz on baritone saxophone', '3': 'with Skerik on saxophone and Mike Dillon on percussion; with Entrance of the Gladiators (Julius Fučík) tease'}",,"Puppet String,  Day Nurse >  Maybe Someday >  August >  The Crooked One[1] >  Higgins,  Booth Love[2],  Hang Up Your Hang Ups[2],  Hajimemashite,  Bad Friday[3]",,,,,,,,,,,
0,2019-01-18,"Taft Theatre, Cincinnati, OH, USA",Big Something,"[""with YYZ (Rush) teases before Phil's Farm""]","{'1': 'with Stairway to Heaven (Led Zeppelin) tease', '2': 'unfinished', '3': ""with Can't You Hear Me Knocking (The Rolling Stones) tease"", '4': 'with Nick Blasky on percussion'}",,,"In The Kitchen -> Seasons,  Speak Up >  Passing >  The Triple Wide[1],  You & You Alone,  Women Wine and Song[2] >  The Stranger >  In The Kitchen","Attachments -> The Fussy Dutchman,  Cut the Cable,  Phil's Farm[3] -> The Floor,  Whistle Kids >  Phil's Farm",,Let's Dance[4],,,,,,,
0,2019-01-19,"Taft Theatre, Cincinnati, OH, USA",Big Something,None,"{'1': 'with Crazy Train (Ozzy Osbourne) teases', '2': 'with Casey Cranford on EWI', '3': 'with Jake on keys; with Rhiannon (Fleetwood Mac) teases', '4': 'with Lose Yourself (Eminem) and Game of Thrones theme (Djawadi) teases'}",,,"Conduit[1],  Triangle Tear >  Nothing Too Fancy -> In The Black,  Draconian,  Shine On You Crazy Diamond[2] >  Nothing Too Fancy","The Silent Type,  Wife Soup,  Wizard Burial Ground,  Miami Virtue[3],  Upward,  Plunger >  Don't You (Forget About Me) >  Plunger",,Front Porch[4],,,,,,,
0,2019-01-25,"Riverside Theater, Milwaukee, WI, USA",Marcus King Band,"[""last It's Gonna Be A Long Night 02.17.2008 (1,149 shows)""]","{'1': 'with Rockit (Herbie Hancock) tease', '2': 'with Australian Lullaby tease', '3': 'with Jake on keys'}",1 review(s),,"It's Gonna Be A Long Night >  All In Time >  Spires,  Night Nurse[1] -> In The Kitchen[2],  Susanah,  Intentions Clear >  All In Time","Hindsight,  Breaker,  Hurt Bird Bath[3],  Push the Pig,  Mantis",,Young Lust >  Glory,,,,,,,
0,2019-01-26,"Riverside Theater, Milwaukee, WI, USA",Marcus King Band,"['last Coming In From the Cold 10.09.2002 (1,880 shows)']","{'1': 'with Marcus King on guitar', '2': 'with reprise of ""turbo"" version', '3': ""with Don't Stand So Close to Me (The Police) teases"", '4': 'with Imperial March (Star Wars) (John Williams) tease', '5': 'with Big Heart (Lounge Lizards) jam', '6': 'with Bombtrack (Rage Against the Machine) jam and quote; with Jake on drums; with Home (The New Deal) jam', '7': ""with One Nation Under a Groove (Funkadelic) and Jesu, Joy of Man's Desiring (Bach) teases""}",,,"There's No Crying In Mexico >  Divisions >  Make It Right,  Bad Friday[1],  2x2,  Coming In From the Cold >  Professor Wormbog[2] >  Divisions","1348 >  The Silent Type[3],  Prowler[4] >  The Fuzz[5] >  The Floor,  Utopian Fir[6] >  Kula >  1348",,Making Flippy Floppy[7],,,,,,,
0,2019-01-31,"College Street Music Hall, New Haven, CT, USA",Robert Walter’s 20th Congress,None,{},,,"Half Delayed >  Slacker,  Educated Guess,  Der Bluten Kat,  You & You Alone,  Partyin' Peeps","Robot World -> Mail Package,  Miami Virtue >  Higgins,  Draconian >  Den",,Mulche's Odyssey,,,,,,,
