primary_key,date,title,venue,city,state,country,vip,support,notes,tags,set_ct,song_ct
04-02-2008-North_Myrtle_Beach-3-17,04-02-2008,"House of Blues, North Myrtle Beach, SC, USA",House of Blues,North Myrtle Beach,SC,USA,False,U-Melt,,{},3,17
04-03-2008-Asheville-3-11,04-03-2008,"The Orange Peel, Asheville, NC, USA",The Orange Peel,Asheville,NC,USA,False,U-Melt,,"{1: 'with Kula jam', 2: 'with Karl Engelmann on kazoo'}",3,11
04-04-2008-Athens-3-15,04-04-2008,"Georgia Theatre, Athens, GA, USA",Georgia Theatre,Athens,GA,USA,False,,,{},3,15
04-05-2008-St._Louis-3-14,04-05-2008,"The Pageant, St. Louis, MO, USA",The Pageant,St. Louis,MO,USA,False,,['this show was simulcast via iClips.net'],"{1: 'with Born on the Bayou (Creedence Clearwater Revival) teases', 2: 'debut, Jimi Hendrix; with Ryan\'s cousin (""RG"") replacing Jake on guitar', 3: 'debut, Soundgarden', 4: 'ended with Amazing Grace (John Newton) tease'}",3,14
04-08-2008-DeKalb-3-16,04-08-2008,"Egyptian Theatre, DeKalb, IL, USA",Egyptian Theatre,DeKalb,IL,USA,False,Hannibal the Comedian,,"{1: 'with Brendan on acoustic', 2: 'with Xxplosive (Dr. Dre) teases'}",3,16
04-09-2008-Buffalo-3-13,04-09-2008,"The Town Ballroom, Buffalo, NY, USA",The Town Ballroom,Buffalo,NY,USA,False,,,{1: 'with Jake on percussion'},3,13
04-10-2008-Troy-3-14,04-10-2008,"Revolution Hall, Troy, NY, USA",Revolution Hall,Troy,NY,USA,False,,,"{1: 'with In the Flesh (Pink Floyd) tease', 2: 'began with Regulate (Warren G) jam', 3: 'with Billie Jean (Michael Jackson) jam'}",3,14
04-11-2008-Northampton-3-13,04-11-2008,"Calvin Theatre, Northampton, MA, USA",Calvin Theatre,Northampton,MA,USA,False,U-Melt,,"{1: '""Jimmy Stewart"" with lyrics', 2: 'with Brendan on percussion'}",3,13
04-12-2008-Providence-1-12,04-12-2008,"Brown University, Providence, RI, USA",Brown University,Providence,RI,USA,False,,['with M.I.A. and Girl Talk'],{},1,12
04-13-2008-New_Haven-3-14,04-13-2008,"Toad's Place, New Haven, CT, USA",Toad's Place,New Haven,CT,USA,False,,"[""last It's So Easy 05.01.2004 (515 shows)""]","{1: ""with Miss Tinkle's Overture teases"", 2: 'with One Nation Under a Groove (Funkadelic) teases', 3: 'with Kula jam'}",3,14
04-16-2008-South_Burlington-3-14,04-16-2008,"Higher Ground, South Burlington, VT, USA",Higher Ground,South Burlington,VT,USA,False,Rue Melo,,{1: 'unfinished'},3,14
04-17-2008-Sayreville-3-14,04-17-2008,"Starland Ballroom, Sayreville, NJ, USA",Starland Ballroom,Sayreville,NJ,USA,False,Rue Melo,,{},3,14
04-18-2008-Stroudsburg-3-15,04-18-2008,"Sherman Theater, Stroudsburg, PA, USA",Sherman Theater,Stroudsburg,PA,USA,False,,,{1: 'unfinished'},3,15
04-19-2008-Baltimore-3-14,04-19-2008,"Ram's Head Live!, Baltimore, MD, USA",Ram's Head Live!,Baltimore,MD,USA,False,,,"{1: ""with Jake on keys; with Alex's House jam""}",3,14
04-20-2008-Washington-1-5,04-20-2008,"""Green Apple Music Festival"" The National Mall, Washington, DC, USA","""Green Apple Music Festival"" The National Mall",Washington,DC,USA,False,,"[""free concert also with The Roots, Gov't Mule, Toots & The Maytals, Thievery Corporation, Warren Haynes, and various speakers""]",{},1,5
04-30-2008-Urbana-3-16,04-30-2008,"The Canopy Club, Urbana, IL, USA",The Canopy Club,Urbana,IL,USA,False,EOTO,,"{1: 'with Brian Felix on keys', 2: 'with In the Kitchen teases', 3: '""punk version""'}",3,16
05-01-2008-Knoxville-2-10,05-01-2008,"""Sundown In the City"" Market Square, Knoxville, TN, USA","""Sundown In the City"" Market Square",Knoxville,TN,USA,False,,"['last Trenchtown Rock 04.16.2006 (250 shows)', ""Jesu Joy of Man's Desiring (Bach) was teased before Trenchtown Rock""]","{1: 'unfinished', 2: 'with Jeff Coffin on saxophone'}",2,10
