primary_key,date,title,venue,city,state,country,vip,support,notes,tags,set_ct,song_ct
03-23-2013-West_Hollywood-3-17,03-23-2013,"House of Blues - Sunset Strip, West Hollywood, CA, USA",House of Blues - Sunset Strip,West Hollywood,CA,USA,False,The Bright Light Social Hour,,"{1: 'with Thriller (Michael Jackson) teases', 2: 'with Jake on keys', 3: 'debut, Nate Dogg; with Clayton Halsey on vocals and Brendan on keys', 4: 'with Under the Influence (Eminem) tease from Ryan', 5: 'Fletch Theme (Harold Faltermeyer) and Voices Inside My Head (The Police) teases', 6: 'with Garbage Man (Ike Turner and the Family Vibes) tease', 7: 'with Rain Song (Led Zeppelin) ending'}",3,17
03-24-2013-Phoenix-2-12,03-24-2013,"""McDowell Mountain Music Festival"" Margaret T. Hance Park, Phoenix, AZ, USA","""McDowell Mountain Music Festival"" Margaret T. Hance Park",Phoenix,AZ,USA,False,,['Main Stage'],"{1: 'with Mike Bendy replacing Ryan on bass', 2: ""with Wanna Be Startin' Somethin' (Michael Jackson) jam"", 3: 'with Stanley Jordan on guitar', 4: 'with Stanley Jordan on guitar; with Eleanor Rigby (The Beatles) jam by Stanley'}",2,12
04-10-2013-Charleston-3-18,04-10-2013,"Music Farm, Charleston, SC, USA",Music Farm,Charleston,SC,USA,False,,['The band walked out to the Jaws theme (John Williams)'],{1: 'with Rhiannon (Fleetwood Mac) teases'},3,18
04-11-2013-Jacksonville_Beach-3-15,04-11-2013,"Freebird Live, Jacksonville Beach, FL, USA",Freebird Live,Jacksonville Beach,FL,USA,False,Break Science,,"{1: 'with Xxplosive (Dr. Dre) teases', 2: 'with Family Feud theme teases', 3: ""with 40's Theme teases""}",3,15
04-12-2013-Orlando-3-18,04-12-2013,"The Plaza 'Live' Theatre, Orlando, FL, USA",The Plaza 'Live' Theatre,Orlando,FL,USA,False,Break Science,,"{1: 'Ryan solo', 2: 'with Soul Food II jam'}",3,18
04-13-2013-St._Petersburg-3-28,04-13-2013,"Jannus Live, St. Petersburg, FL, USA",Jannus Live,St. Petersburg,FL,USA,False,Break Science,,"{1: 'with Adam Deitch on drums, Kris on percussion', 2: 'incomplete; with Rhiannon (Fleetwood Mac) teases'}",3,28
04-15-2013-Athens-3-18,04-15-2013,"Georgia Theatre, Athens, GA, USA",Georgia Theatre,Athens,GA,USA,False,,,"{1: 'with Dance Hall Days (Wang Chung) jam', 2: ""unfinished; with Ain't Talkin' 'bout Love (Van Halen) tease""}",3,18
04-17-2013-Fayetteville-3-17,04-17-2013,"George's Majestic Lounge, Fayetteville, AR, USA",George's Majestic Lounge,Fayetteville,AR,USA,False,Space Camp,,{},3,17
04-18-2013-Fayetteville-3-16,04-18-2013,"George's Majestic Lounge, Fayetteville, AR, USA",George's Majestic Lounge,Fayetteville,AR,USA,False,Montu,,"{1: 'with The Jetsons theme song (Hoyt Curtin) tease', 2: ""with Tiny Cities Made of Ashes (Modest Mouse) and (Don't Fear) The Reaper (Blue Öyster Cult) teases"", 3: 'with The Chicken (Jaco Pastorious) jam'}",3,16
04-19-2013-Dallas-3-18,04-19-2013,"House of Blues, Dallas, TX, USA",House of Blues,Dallas,TX,USA,False,Moon Taxi,,"{1: 'debut, The Romantics; one verse and chorus', 2: '""Jimmy Stewart"" with lyrics'}",3,18
04-20-2013-Austin-3-18,04-20-2013,"Stubb's BBQ, Austin, TX, USA",Stubb's BBQ,Austin,TX,USA,False,Moon Taxi,,"{1: 'debut, Daft Punk; incomplete', 2: ""with Stayin' Alive (Bee Gees) teases""}",3,18
04-26-2013-Chicago-5-29,04-26-2013,"""UMBowl IV"" Park West, Chicago, IL, USA","""UMBowl IV"" Park West",Chicago,IL,USA,False,,"['first quarter was Raw Stewage, comprised of attendees\' votes for past ""Jimmy Stewarts"": FDR (04.23.2003 FDR), Final Word (10.19.2005 Der Bluten Kat), Amble On (06.09.2006 Utopian Fir), Rise to the Top (10.12.2005 Making Flippy Floppy), Cut the Cable (11.05.2011 Ringo), Constellations (09.14.2012 Puppet String), Gravity\'s Reel (09.14.2012 All In Time), and Fool\'s Gold (11.18.2008 Water)', '', 'second quarter was comprised of attendees\' votes, ""All Request""', '', 'third quarter was a Stew Art event: Baby Making Music [with Jake lyrics, a la Michael McDonald] > Jazz/Metal Fusion > Sinister Evil Untz > Simply Ambient Bliss > Moogatize Us [with Jake on keys] > Gin and Juice [Snoop Dogg] > Beach Boogie > Bass n Drum + Joel > Warrior Marching Into Battle > Hillbilly Hoedown > Tribal Drum Jam [with Brendan, Jake, and Joel on percussion] > 70s Disco [with lyrics]', '', 'fourth quarter was in ""choose your own adventure"" style, with attendees voting for the next ""adventure"" live: Puppet String, 1348, or Wappy Sprayberry; Higgins, Eat, or Lenny; 40\'s Theme, Miss Tinkle\'s Overture, or Hangover; Regulate, Miss Gradenko, or Rastaman Chant; Kimble, Dear Lord, or Smell the Mitten; Roulette, Bad Poker, or Get Lucky; end of 1348, end of Puppet String, or end of Miss Tinkle\'s Overture', '', 'the between-quarters videos had a Forrest Gump - gUMph - theme, with ', '', 'the closing scene featuring Joel running across the country and into the venue', '', 'last FDR 04.23.2003 (1,256 shows)', 'last Cantina Band 02.20.2002 (1,446 shows)', 'last Mean Mr. Mustard 09.29.2010 (299 shows)', 'last Polythene Pam 09.29.2010 (299 shows)', 'last She Came In Through The Bathroom Window 09.29.2010 (299 shows)', 'last Golden Slumbers 09.29.2010 (299 shows)', 'last Carry That Weight 09.29.2010 (299 shows)']","{1: 'debut, original; with vocals', 2: 'debut, original', 3: 'debut, Metallica', 4: 'with Imperial March (John Williams) teases', 5: 'debut, Pearl Jam', 6: 'Brendan and Jake on acoustics', 7: 'Brendan on mandolin and Jake on acoustic', 8: 'unfinished', 9: 'with Xxplosive (Dr. Dre) tease; unfinished', 10: 'with In the Kitchen teases', 11: 'ending', 12: 'debut, Jackson Browne'}",5,29
04-27-2013-Chicago-3-24,04-27-2013,"Lincoln Hall, Chicago, IL, USA",Lincoln Hall,Chicago,IL,USA,False,,"['private show put on by fans, billed as ""Bill Graham for a Day""', 'the band came onto the stage for the first set one by one, starting with Andy', 'Web Tangle > Larceny were selections from the UMBowl ""Raw Stewage"" voting: In the Kitchen 04.07.2006 with lyrics > Dump City 02.07.2008', 'the band came out for the second set singing ""One More Set"" to the tune of One More Night (Phil Collins)', 'Front Port teased before Tribute to the Spinal Shaft', 'last Sludge & Death 04.12.2007 (703 shows)', 'last Debra 12.09.2000 (1,609 shows)', 'last Soul Food II 02.21.2006 (853 shows)', ""last That's What Love Will Make You Do 09.08.2001 (1,506 shows)""]","{1: 'with The Spirit of Radio (Rush) jam and Turn & Run fake-out', 2: 'unfinished', 3: 'debut, original', 4: 'debut, Otis Redding; Brendan on mandolin', 5: 'Brendan on mandolin', 6: 'with Divisions fake-out'}",3,24
05-16-2013-Gulf_Shores-1-7,05-16-2013,"""Hangout Music Festival"" Gulf Shores Public Beach, Gulf Shores, AL, USA","""Hangout Music Festival"" Gulf Shores Public Beach",Gulf Shores,AL,USA,False,,['Letting Go Stage'],{1: 'with Bridgeless jam'},1,7
05-24-2013-Chillicothe-3-20,05-24-2013,"""Summer Camp Music Festival"" Three Sisters Park, Chillicothe, IL, USA","""Summer Camp Music Festival"" Three Sisters Park",Chillicothe,IL,USA,False,,"['Sunshine Stage', 'last Rebubula 06.24.1999 (1,735 shows)']","{1: 'with Dominic Lalli on saxophone', 2: 'with Rhinoceros (The Smashing Pumpkins) teases in intro'}",3,20
05-25-2013-Chillicothe-vip-1-6,05-25-2013,"""Summer Camp Music Festival"" Three Sisters Park, Chillicothe, IL, USA","""Summer Camp Music Festival"" Three Sisters Park",Chillicothe,IL,USA,True,,"['Three Sisters Church', 'Show for those who purchased the VIP package']",{},1,6
05-25-2013-Chillicothe-3-17,05-25-2013,"""Summer Camp Music Festival"" Three Sisters Park, Chillicothe, IL, USA","""Summer Camp Music Festival"" Three Sisters Park",Chillicothe,IL,USA,False,,['Sunshine Stage'],"{1: ""with Mad Dog's Filthy Little Secret horns"", 2: ""with Mad Dog's Filthy Little Secret horns; with It's About That Time (Miles Davis) jam""}",3,17
05-26-2013-Chillicothe-1-13,05-26-2013,"""Summer Camp Music Festival"" Three Sisters Park, Chillicothe, IL, USA","""Summer Camp Music Festival"" Three Sisters Park",Chillicothe,IL,USA,False,,['Sunshine Stage'],"{1: 'with Taj Mahal and Luther Dickinson', 2: 'with Luther Dickinson', 3: 'with No Comment tease'}",1,13
05-31-2013-Ozark-1-16,05-31-2013,"""Wakarusa Music and Camping Festival"" Mulberry Mountain, Ozark, AR, USA","""Wakarusa Music and Camping Festival"" Mulberry Mountain",Ozark,AR,USA,False,,['Main Stage'],"{1: 'debut, original', 2: 'unfinished', 3: 'with Bulls On Parade (Rage Against the Machine) jam'}",1,16
06-01-2013-Ozark-1-10,06-01-2013,"""Wakarusa Music and Camping Festival"" Mulberry Mountain, Ozark, AR, USA","""Wakarusa Music and Camping Festival"" Mulberry Mountain",Ozark,AR,USA,False,,['Revival Tent'],"{1: 'with Chitlins Con Carne (Kenny Burrell) teases', 2: 'with Mike Dillon on vibraphone', 3: 'completed 05.31.2013 version'}",1,10
06-07-2013-Morrison-3-20,06-07-2013,"Red Rocks Amphitheatre, Morrison, CO, USA",Red Rocks Amphitheatre,Morrison,CO,USA,False,Delta Spirit and Dr. Dog,"['Divisions was preceded by a recording of In the Hall of the Mountain King (Grieg) on the P.A. with the band playing along', 'last Big Heart 02.14.2010 (371 shows)']",{1: 'with Clayton Halsey on vocals'},3,20
06-08-2013-Boulder-3-16,06-08-2013,"Chautauqua Auditorium, Boulder, CO, USA",Chautauqua Auditorium,Boulder,CO,USA,False,,['last Black Water 07.11.2010 (332 shows)'],"{1: 'with Brendan and Jake acoustic', 2: '""Jimmy Stewart"" with lyrics'}",3,16
06-17-2013-Big_Indian-1-9,06-17-2013,"""sUMmer school"" Full Moon Resort, Big Indian, NY, USA","""sUMmer school"" Full Moon Resort",Big Indian,NY,USA,False,,,{},1,9
06-18-2013-Big_Indian-1-9,06-18-2013,"""sUMmer school"" Full Moon Resort, Big Indian, NY, USA","""sUMmer school"" Full Moon Resort",Big Indian,NY,USA,False,,['Domino Theory was teased after Go to Hell'],{1: 'with Jeff Coffin on saxophones'},1,9
06-19-2013-Big_Indian-1-11,06-19-2013,"""sUMmer school"" Full Moon Resort, Big Indian, NY, USA","""sUMmer school"" Full Moon Resort",Big Indian,NY,USA,False,,,{1: 'one verse'},1,11
06-20-2013-Big_Indian-2-15,06-20-2013,"""sUMmer school"" Full Moon Resort, Big Indian, NY, USA","""sUMmer school"" Full Moon Resort",Big Indian,NY,USA,False,,,"{1: 'with For Whom the Bell Tolls (Metallica) teases', 2: 'with Zackie Spesh on guitar'}",2,15
06-21-2013-Baltimore-3-21,06-21-2013,"Ram's Head Live!, Baltimore, MD, USA",Ram's Head Live!,Baltimore,MD,USA,False,,,"{1: 'debut, The Beatles; with Divisions fake-out', 2: 'with Soul Food II jam before song', 3: 'with Crazy Train (Ozzy Osbourne) teases'}",3,21
06-22-2013-North_Myrtle_Beach-3-18,06-22-2013,"House of Blues, North Myrtle Beach, SC, USA",House of Blues,North Myrtle Beach,SC,USA,False,,,"{1: '""Jimmy Stewart"" with lyrics'}",3,18
07-02-2013-Milwaukee-2-19,07-02-2013,"""Summerfest"" Henry Maier Festival Park, Milwaukee, WI, USA","""Summerfest"" Henry Maier Festival Park",Milwaukee,WI,USA,False,,['Briggs & Stratton Big Backyard Stage'],{1: 'with Kevin Sinclair on saxophone'},2,19
07-03-2013-Grand_Rapids-3-21,07-03-2013,"Frederik Meijer Gardens, Grand Rapids, MI, USA",Frederik Meijer Gardens,Grand Rapids,MI,USA,False,,"['last After Midnight 10.28.2008 (537 shows)', ""last Kat's Tune 08.12.2010 (326 shows)""]","{1: 'Ryan solo', 2: 'unfinished'}",3,21
07-05-2013-Minneapolis-3-19,07-05-2013,"Cabooze Outdoor Plaza, Minneapolis, MN, USA",Cabooze Outdoor Plaza,Minneapolis,MN,USA,False,,,{},3,19
07-06-2013-Des_Moines-1-9,07-06-2013,"""80 / 35 Festival"" Western Gateway Park, Des Moines, IA, USA","""80 / 35 Festival"" Western Gateway Park",Des Moines,IA,USA,False,,['Main Stage'],{},1,9
07-06-2013-Des_Moines-2-11,07-06-2013,"Wooly's, Des Moines, IA, USA",Wooly's,Des Moines,IA,USA,False,,,{},2,11
07-07-2013-Peoria-3-18,07-07-2013,"CEFCU Center Stage at The Landing, Peoria, IL, USA",CEFCU Center Stage at The Landing,Peoria,IL,USA,False,,,"{1: 'with Stanley Jordan on guitar', 2: 'unfinished', 3: ""with Ain't No Fun (If the Homies Can't Have None) (Snoop Dogg) jam"", 4: 'with Norwegian Wood (The Beatles) jam and River People (Weather Report) tease', 5: 'without Peter Piper lyrics'}",3,18
07-11-2013-Mariaville-1-8,07-11-2013,"""Camp Bisco"" Indian Lookout Country Club, Mariaville, NY, USA","""Camp Bisco"" Indian Lookout Country Club",Mariaville,NY,USA,False,,"['entire show without Ryan', 'Main 1 Stage', 'last Home Again 05.05.2006 (837 shows)']","{1: 'with David Murphy on bass', 2: 'with David Murphy on bass; dub version', 3: 'with David Murphy on bass; ""Jimmy Stewart"" with lyrics', 4: 'with Marc Brownstein on bass', 5: 'with Marc Brownstein on bass and vocals and Jon Gutwillig on guitar and vocals', 6: 'with Bryan Doherty on bass', 7: 'with Bryan Doherty on bass, and with Aron Magner joining Joel on keytars'}",1,8
08-15-2013-Louisville-1-13,08-15-2013,"Louisville Palace Theater, Louisville, KY, USA",Louisville Palace Theater,Louisville,KY,USA,False,,['played before STS9'],"{1: 'incomplete', 2: 'with Roundabout (Yes) teases', 3: 'one verse'}",1,13
08-16-2013-Indianapolis-2-13,08-16-2013,"The Lawn at White River State Park, Indianapolis, IN, USA",The Lawn at White River State Park,Indianapolis,IN,USA,False,,"['played after STS9', 'The Floor dedicated to Sanae Harashima']","{1: 'with The Trooper (Iron Maiden) teases', 2: 'with Ramone & Emiglio (STS9) tease', 3: 'with David Murphy replacing Ryan and David Phipps joining Joel'}",2,13
08-17-2013-Chicago-2-12,08-17-2013,"FirstMerit Bank Pavilion at Northerly Island, Chicago, IL, USA",FirstMerit Bank Pavilion at Northerly Island,Chicago,IL,USA,False,,"['played after STS9', 'Tribute to the Spinal Shaft dedicated to Travis ""Quad"" Spurley']",{1: 'with all of STS9 and horns'},2,12
08-18-2013-Rochester_Hills-1-11,08-18-2013,"Meadow Brook Music Festival, Rochester Hills, MI, USA",Meadow Brook Music Festival,Rochester Hills,MI,USA,False,,['played before STS9'],{1: 'with Get In the Van false start'},1,11
08-21-2013-Kansas_City-1-11,08-21-2013,"The Crossroads KC, Kansas City, MO, USA",The Crossroads KC,Kansas City,MO,USA,False,,['played before STS9'],"{1: 'unfinished', 2: 'with Dump City teases and Divisions jam', 3: 'with White Summer/Black Mountain Side (Led Zeppelin) teases'}",1,11
08-22-2013-Chesterfield-1-10,08-22-2013,"Chesterfield Amphitheater, Chesterfield, MO, USA",Chesterfield Amphitheater,Chesterfield,MO,USA,False,Up Until Now,"['played after STS9', 'with YYZ (Rush) tease before Room to Breathe']",{1: 'with The Fuzz tease'},1,10
08-23-2013-Nashville-1-12,08-23-2013,"Riverfront Park, Nashville, TN, USA",Riverfront Park,Nashville,TN,USA,False,Up Until Now,['played after STS9'],{1: 'with David Murphy replacing Ryan on bass and Jeffree Lerner on percussion'},1,12
08-24-2013-Alpharetta-1-11,08-24-2013,"Verizon Wireless Amphitheatre, Alpharetta, GA, USA",Verizon Wireless Amphitheatre,Alpharetta,GA,USA,False,Up Until Now,['played before STS9'],{},1,11
08-25-2013-Raleigh-1-14,08-25-2013,"Red Hat Amphitheater, Raleigh, NC, USA",Red Hat Amphitheater,Raleigh,NC,USA,False,Up Until Now,['played after STS9'],"{1: 'debut, original'}",1,14
08-28-2013-Charlotte-1-15,08-28-2013,"Time Warner Uptown Amphitheatre, Charlotte, NC, USA",Time Warner Uptown Amphitheatre,Charlotte,NC,USA,False,Up Until Now,"['played before STS9', 'last Raymond 03.11.2010 (384 shows)']","{1: 'one verse', 2: 'with Sweet Home Alabama (Lynyrd Skynyrd) tease'}",1,15
08-29-2013-Richmond-2-14,08-29-2013,"Maymont, Richmond, VA, USA",Maymont,Richmond,VA,USA,False,Up Until Now,['played after STS9'],{},2,14
08-30-2013-Philadelphia-2-11,08-30-2013,"Mann Music Center, Philadelphia, PA, USA",Mann Music Center,Philadelphia,PA,USA,False,Up Until Now,['played after STS9'],"{1: 'with David Murphy on bass and Jeffree Lerner on percussion', 2: 'with Zach Velmer replacing Kris on drums', 3: 'with Bulls On Parade (Rage Against the Machine) jam'}",2,11
08-31-2013-Boston-1-14,08-31-2013,"Bank of America Pavilion, Boston, MA, USA",Bank of America Pavilion,Boston,MA,USA,False,Up Until Now,['played before STS9'],{1: 'with Jeffree Lerner on percussion and David Phipps on keyboards'},1,14
09-01-2013-Vienna-1-12,09-01-2013,"Filene Center at Wolf Trap, Vienna, VA, USA",Filene Center at Wolf Trap,Vienna,VA,USA,False,Up Until Now,['played before STS9'],"{1: 'unfinished', 2: 'Brendan and Jake on acoustics'}",1,12
10-04-2013-Charleston-1-6,10-04-2013,"Family Circle Stadium, Charleston, SC, USA",Family Circle Stadium,Charleston,SC,USA,False,,"['opened for Widespread Panic', 'with Bad Poker tease before All In Time']",{1: 'with 25 or 6 to 4 (Chicago) jam'},1,6
10-05-2013-Charleston-1-7,10-05-2013,"Family Circle Stadium, Charleston, SC, USA",Family Circle Stadium,Charleston,SC,USA,False,,"['opened for Widespread Panic', ""last Ain't No Sunshine 02.10.2011 (294 shows)""]","{1: ""with A Love Supreme (John Coltrane) and Wanna Be Startin' Somethin' (Michael Jackson) jams"", 2: ""with Jake on keys; with There's No Crying In Mexico tease"", 3: 'with John Bell on guitar and vocals'}",1,7
10-16-2013-South_Burlington-3-18,10-16-2013,"Higher Ground, South Burlington, VT, USA",Higher Ground,South Burlington,VT,USA,False,The London Souls,"['with La Grange (ZZ Top) tease before Dr. Feelgood', 'last Cinnamon Girl 03.04.2008 (639 shows)']","{1: ""with Don't You Forget About Me (Simple Minds) jam"", 2: 'with Voodoo Child (Slight Return) (Jimi Hendrix) tease', 3: 'with Bulls On Parade (Rage Against the Machine) jam', 4: 'with Norwegian Wood (The Beatles) jam'}",3,18
10-17-2013-Bridgeport-3-20,10-17-2013,"The Klein, Bridgeport, CT, USA",The Klein,Bridgeport,CT,USA,False,The London Souls,"['Women Wine and Song dedicated to fan Aidan and his father', 'last Luckenbach, Texas (Back to the Basics of Love) 08.28.2009 (468 shows)']","{1: 'debut, Bananarama', 2: ""with Breezin' (George Benson) jam"", 3: '""Jimmy Stewart"" with lyrics', 4: 'with Bill Evans on saxophone', 5: 'with Ten Years Gone (Led Zeppelin) intro'}",3,20
10-18-2013-Northampton-3-18,10-18-2013,"Calvin Theatre, Northampton, MA, USA",Calvin Theatre,Northampton,MA,USA,False,The London Souls,,"{1: 'with Roundabout (Yes) and Third Stone From the Sun (Jimi Hendrix) teases', 2: '""Jimmy Stewart"" with lyrics'}",3,18
10-19-2013-Portland-3-16,10-19-2013,"State Theatre, Portland, ME, USA",State Theatre,Portland,ME,USA,False,The London Souls,,{},3,16
10-21-2013-State_College-3-23,10-21-2013,"The State Theatre, State College, PA, USA",The State Theatre,State College,PA,USA,False,,"['with White Summer/Black Mountain Side (Led Zeppelin) tease before Black Water', 'last Tomorrow Never Knows 11.15.2009  (435 shows)']",{1: 'one verse'},3,23
10-23-2013-Cleveland-3-17,10-23-2013,"House of Blues, Cleveland, OH, USA",House of Blues,Cleveland,OH,USA,False,The London Souls,,"{1: ""with I Can't Go For That (No Can Do) (Hall & Oates) jam""}",3,17
10-24-2013-Stroudsburg-3-17,10-24-2013,"Sherman Theater, Stroudsburg, PA, USA",Sherman Theater,Stroudsburg,PA,USA,False,The London Souls,['last Rastaman Chant 06.29.2011 (262 shows)'],"{1: 'with The Floor tease', 2: 'with Imperial March (John Williams) tease'}",3,17
10-25-2013-Pittsburgh-3-23,10-25-2013,"Stage AE, Pittsburgh, PA, USA",Stage AE,Pittsburgh,PA,USA,False,The London Souls,,"{1: 'unfinished', 2: '""Jimmy Stewart"" with lyrics; with Stairway to Heaven (Led Zeppelin) tease'}",3,23
10-26-2013-Buffalo-3-19,10-26-2013,"The Town Ballroom, Buffalo, NY, USA",The Town Ballroom,Buffalo,NY,USA,False,The London Souls,"['You Really Got Me (Van Halen) was teased after the second Hurt Bird Bath.', ""last Burnin' and Lootin' 12.09.2005 (916 shows)""]","{1: 'with Crazy Train (Ozzy Osbourne) jam', 2: 'one verse', 3: 'with 99 Red Balloons (Nena) teases', 4: '""Jimmy Stewart"" with lyrics'}",3,19
10-30-2013-Kalamazoo-3-16,10-30-2013,"Kalamazoo State Theatre, Kalamazoo, MI, USA",Kalamazoo State Theatre,Kalamazoo,MI,USA,False,,,{1: 'with Jake on percussion'},3,16
10-31-2013-Milwaukee-3-16,10-31-2013,"Riverside Theater, Milwaukee, WI, USA",Riverside Theater,Milwaukee,WI,USA,False,The London Souls,"['Band costumes: Brendan was Heisenbert Reynolds, Jake was Silent Bob Seger, Joel was Uncle Jesse Pinkman, Andy was Paul Ryan Braun, Kris was Dr. Phil Spector, and Ryan was Batman & Robin Thicke']","{1: 'with Pay the Snucka (part III) teases', 2: ""debut; When Doves Cry (Prince) + Pay the Snucka + (Don't Fear) The Reaper (Blue Öyster Cult) mash-up"", 3: 'with Halloween theme (John Carpenter) jam, and Thriller (Michael Jackson) and Day Nurse teases', 4: 'debut; Papa Was a Rolling Stone (The Temptations) + Blurred Lines (Robin Thicke) + Got to Give It Up (Marvin Gaye) + I Can Change (LCD Soundsystem) mash-up', 5: 'debut; The Triple Wide + Highway to Hell (AC/DC) + Electric Avenue (Eddy Grant) mash-up'}",3,16
11-01-2013-Milwaukee-3-21,11-01-2013,"Riverside Theater, Milwaukee, WI, USA",Riverside Theater,Milwaukee,WI,USA,False,Cosby Sweater feat. Joel,,"{1: 'with Kevin Sinclair on saxophone', 2: 'with Simple Gifts (Elder Joseph Brackett) and When the Saints Go Marching In (traditional) teases', 3: 'debut; The Final Countdown (Europe) + Smells Like Teen Spirit (Nirvana) mash-up', 4: 'with Muffburger Sandwich jam', 5: 'with Adam Budney on vocals', 6: ""with Baba O'Riley (The Who) teases""}",3,21
11-02-2013-Milwaukee-3-19,11-02-2013,"Riverside Theater, Milwaukee, WI, USA",Riverside Theater,Milwaukee,WI,USA,False,Boombox,"['with La Grange (ZZ Top) tease before Miami Virtue', 'last ...And Justice for All 10.17.2008 (577 shows)']","{1: 'with Rebubula (moe.) tease', 2: 'with One Nation Under a Groove (Funkadelic) tease', 3: 'debut, The Police; incomplete', 4: 'with Who Knows (Jimi Hendrix) teases', 5: 'with Jake on keys', 6: 'debut; Booth Love + Deeper + Push the Pig mash-up'}",3,19
12-16-2013-Puerto_Morelos-1-10,12-16-2013,"""Mayan Holidaze"" Now Sapphire Riviera Cancun, Puerto Morelos, Mexico","Mayan Holidaze"" Now Sapphire Riviera Cancun",Puerto Morelos,,Mexico,False,,['show was played indoors in a conference room due to inclement weather'],{1: 'with Cocaine Blues (Escort) teases'},1,10
12-17-2013-Puerto_Morelos-3-17,12-17-2013,"""Mayan Holidaze"" Now Sapphire Riviera Cancun, Puerto Morelos, Mexico","Mayan Holidaze"" Now Sapphire Riviera Cancun",Puerto Morelos,,Mexico,False,,,"{1: ""with Rock and Roll Ain't Noise Pollution (AC/DC) tease"", 2: 'with Carol of the Bells (Mykola Leontovych) tease'}",3,17
12-19-2013-Puerto_Morelos-1-7,12-19-2013,"""Mayan Holidaze"" Now Sapphire Riviera Cancun, Puerto Morelos, Mexico","Mayan Holidaze"" Now Sapphire Riviera Cancun",Puerto Morelos,,Mexico,False,,,"{1: 'unfinished, due to rain', 2: 'with alternate ""Mexico"" lyrics', 3: ""with There's No Crying In Mexico jam""}",1,7
12-28-2013-Denver-3-17,12-28-2013,"Fillmore Auditorium, Denver, CO, USA",Fillmore Auditorium,Denver,CO,USA,False,,"[""Beethoven's Fifth Symphony was played over PA as the band took the stage.""]","{1: 'with Auld Lang Syne tease', 2: 'with Jake on keys', 3: 'with River People (Weather Report) tease; unfinished', 4: '""Jimmy Stewart"" with lyrics', 5: 'debut, The Clash', 6: 'with Jake on percussion'}",3,17
12-29-2013-Denver-3-18,12-29-2013,"Fillmore Auditorium, Denver, CO, USA",Fillmore Auditorium,Denver,CO,USA,False,Dumpstaphunk,,"{1: 'with Ivan Neville on keys', 2: 'with Joshua Redman on saxophone', 3: 'with Joshua Redman on saxophone and with Jaden Carlson replacing Brendan on guitar', 4: 'with All In Time tease; with Joshua Redman on saxophone', 5: 'with Glide (Pleasure) tease; with Joshua Redman on saxophone', 6: 'debut, Weather Report; with Joshua Redman on saxophone'}",3,18
12-30-2013-Denver-3-22,12-30-2013,"1 Up - Colfax, Denver, CO, USA",1 Up - Colfax,Denver,CO,USA,False,,"['""Bill Graham for a Day"" show', 'last Legalize It 12.16.2007 (675 shows)', 'last Muff II: The Revenge 07.17.2010  (376 shows)', 'last The Girl Is Mine 11.10.2010 (334 shows)', 'last Jane Says 11.10.2010 (334 shows)']","{1: 'with The Fish (Yes) and Cruel Summer (Bananarama) teases; with Auld Lang Syne jam', 2: 'unfinished', 3: 'debut, Simple Minds', 4: 'with Legalize It (Peter Tosh) tease', 5: 'debut, Pleasure', 6: '""Jimmy Stewart"" with lyrics'}",3,22
12-31-2013-Denver-4-24,12-31-2013,"Fillmore Auditorium, Denver, CO, USA",Fillmore Auditorium,Denver,CO,USA,False,,"['Mad Dog and his Filthy Little Secret horns were: Michael ""Mad Dog"" Mavridoglou on trumpet, Jeff Coffin on saxophone, Chris Neal on saxophone, and Brent Sanders on trombone']","{1: 'debut, original; with Mad Dog and his Filthy Little Secret horns', 2: 'with Mad Dog and his Filthy Little Secret horns', 3: 'debut, Golden Earring; with Crazy Train (Ozzy Osbourne) teases', 4: 'with Stairway to Heaven (Led Zeppelin) tease', 5: 'debut, Phil Collins; with Mad Dog and his Filthy Little Secret horns', 6: 'with Day Nurse tease; unfinished; with Mad Dog and his Filthy Little Secret horns', 7: 'debut, Funkadelic; with Mad Dog and his Filthy Little Secret horns', 8: 'with Den teases', 9: '""Jimmy Stewart"" with lyrics', 10: 'debut, Howard Jones; with Mad Dog and his Filthy Little Secret horns', 11: 'with Auld Lang Syne jam; with Mad Dog and his Filthy Little Secret horns', 12: 'debut, Kool & the Gang; with Mad Dog and his Filthy Little Secret horns'}",4,24
01-07-2012-Ft._Lauderdale-3-15,01-07-2012,"Revolution Live, Ft. Lauderdale, FL, USA",Revolution Live,Ft. Lauderdale,FL,USA,False,Toubab Krewe,,{},3,15
01-08-2012-Ft._Lauderdale-3-20,01-08-2012,"Revolution Live, Ft. Lauderdale, FL, USA",Revolution Live,Ft. Lauderdale,FL,USA,False,The New Mastersounds,['last Dee 07.04.2007 (511 shows)'],"{1: 'with Crosseyed and Painless (Talking Heads) tease', 2: ""with Breezin' (George Benson) teases""}",3,20
01-09-2012-Atlantic_Ocean-3-18,01-09-2012,"""Jam Cruise 10"" MSC Poesia, Atlantic Ocean, Atlantic Ocean","Jam Cruise 10"" MSC Poesia",Atlantic Ocean,,Atlantic Ocean,False,,['Pool Deck'],{1: 'with Norwegian Wood (The Beatles) jam and One Nation Under a Groove (Funkadelic) teases; with Jamie Shields on keyboards'},3,18
